Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
3/1/2024 11:51:44,8,8,8,8,10,9,22,Savory,5,"No, not vegan","No, I do not consume dairy ever",0-2 hours
3/1/2024 13:12:05,7,10,8,7,8,8,20,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 13:15:23,5,4,5,4,6,6,21,Savory,5,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 13:15:35,6,7,5,5,7,4,20,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 13:16:00,8,5,4,7,3,5,,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 13:16:32,4,2,3,1,4,3,25,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 14:08:36,10,6,5,3,4,4,20,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 14:46:45,6,7,5,7,7,7,19,Savory,1,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 14:46:57,3,9,3,9,6,9,23,Sweet,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 14:46:59,9,9,9,7,8,7,21,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 14:48:04,9,9,8,9,7,7,20,Sweet,2,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 14:48:05,7,7,7,9,9,9,20,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 14:48:08,8,6,7,8,8,9,23,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 14:48:26,9,9,9,9,9,9,24,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/1/2024 14:58:57,2,1,4,9,5,5,22,Sweet,2,"No, not vegan","Yes, I consume dairy",0-2 hours
