Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
3/1/2024 11:50:06,9,8,8,6,6,6,21,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/1/2024 13:13:53,7,4,8,8,4,8,20,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 13:13:58,3,2,3,5,5,5,19,Savory,1,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 13:14:45,10,10,10,10,10,10,21,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 13:15:00,7,8,5,5,5,4,21,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/1/2024 13:15:33,7,6,7,7,4,5,21,Savory,5,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 13:15:40,7,9,8,9,9,9,20,Sweet,4,"No, not vegan","Yes, I consume dairy",7+ hours
3/1/2024 13:15:42,7,7,4,2,1,1,,Sweet,5,,,
3/1/2024 13:16:01,8,6,7,8,7,7,,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 13:16:06,9,7,8,9,6,6,,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 13:39:08,7,7,7,7,6,7,21,Sweet,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/1/2024 14:08:34,4,6,5,6,7,7,20,Sweet,4,"No, not vegan","Yes, I consume dairy",3-5 hours
3/1/2024 14:46:48,4,3,5,6,7,7,20,Savory,2,"No, not vegan","Yes, I consume dairy",7+ hours
3/1/2024 14:48:15,6,6,6,6,8,9,22,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/1/2024 14:48:20,8,6,8,9,7,8,21,Savory,4,"No, not vegan","No, I do not consume dairy ever",0-2 hours
