Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
4/9/2024 12:12:45,8,9,8,7,7,6,28,Sweet,5,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 12:12:53,9,8,9,6,6,4,28,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 12:13:08,7,5,8,5,3,3,38,Savory,5,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 12:13:13,7,9,9,5,3,4,25,Sweet,1,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 12:13:17,9,9,10,8,7,6,28,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 12:13:28,6,8,7,4,6,5,23,Sweet,3,"No, not vegan","No, I do not consume dairy ever",0-2 hours
4/9/2024 12:13:44,8,5,8,8,10,10,21,Savory,5,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 12:13:54,10,10,10,5,7,5,26,Sweet,5,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 12:14:36,6,7,7,3,6,4,28,Sweet,4,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 12:14:38,8,8,8,9,9,9,27,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 12:14:41,3,8,6,9,10,10,31,Sweet,2,"No, not vegan","Yes, I consume dairy",5-7 hours
4/9/2024 12:14:47,8,8,7,7,8,7,26,Sweet,4,"No, not vegan","Yes, I consume dairy",5-7 hours
4/9/2024 12:14:54,8,8,8,5,5,4,29,Savory,5,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 12:15:12,8,8,7,7,8,6,28,Savory,5,"No, not vegan","Yes, I consume dairy",5-7 hours
4/9/2024 12:15:49,10,10,10,9,8,8,26,Savory,4,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 13:13:53,6,4,5,7,6,7,20,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 13:46:25,10,9,9,4,3,2,18,Savory,2,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 13:44:23,8,7,7,6,7,6,19,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
4/10/2024 13:44:24,6,6,6,4,7,6,18,Sweet,4,,"Yes, I consume dairy",7+ hours
4/10/2024 13:44:40,9,7,4,7,9,8,19,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 13:44:48,6,3,5,7,8,8,20,Sweet,2,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 13:44:49,10,7,9,10,6,9,20,Sweet,2,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 13:45:00,4,8,4,6,7,7,19,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 13:45:04,7,9,8,5,6,5,19,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/10/2024 13:45:06,8,8,7,4,5,4,19,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 13:45:16,6,7,5,8,8,7,19,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/10/2024 13:45:17,10,6,10,10,10,8,20,Sweet,4,"No, not vegan","Yes, I consume dairy",5-7 hours
4/10/2024 13:45:28,7,5,5,7,8,8,20,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
